"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 24 17:57:00 CST 2021","Wed Feb 24 17:57:00 CST 2021","2","","test_demo","TestDemo","","","test_update","测试更新接口"
"passed","Wed Feb 24 17:57:00 CST 2021","Wed Feb 24 17:57:00 CST 2021","0","","test_demo","TestDemo1","","","test_del","测试删除接口"
"passed","Wed Feb 24 17:57:00 CST 2021","Wed Feb 24 17:57:00 CST 2021","0","","test_demo","TestDemo1","","","test_update","测试更新接口"
"passed","Wed Feb 24 17:57:00 CST 2021","Wed Feb 24 17:57:00 CST 2021","0","","test_demo","TestDemo","","","test_del","测试删除接口"
